1211|3631.0
105|3108.0
716|3083.0
1291|3001.0
617|2927.0
746|2810.0
1033|2739.0
740|2727.0
644|2680.0
1002|2640.0
82|2626.0
73|2616.0
251|2607.0
439|2511.0
658|2454.0
41|2432.0
8|2383.0
1403|2378.0
1199|2355.0
802|2319.0
413|2310.0
878|2307.0
814|2304.0
1022|2275.0
919|2272.0
667|2217.0
601|2181.0
571|2175.0
319|2142.0
933|2135.0
1206|2127.0
1326|2114.0
660|2104.0
361|2104.0
1428|2103.0
1182|2097.0
735|2095.0
710|2073.0
672|2041.0
678|2041.0
840|2040.0
853|2037.0
12|2035.0
556|2034.0
940|2031.0
300|2003.0
1012|1998.0
1260|1995.0
1380|1987.0
552|1986.0
197|1956.0
1389|1953.0
569|1939.0
558|1936.0
1179|1925.0
475|1924.0
634|1919.0
383|1882.0
1001|1880.0
314|1876.0
813|1875.0
944|1865.0
323|1862.0
1391|1853.0
1477|1847.0
247|1846.0
1433|1840.0
610|1821.0
711|1819.0
1099|1818.0
606|1817.0
2|1814.0
1177|1812.0
657|1808.0
809|1808.0
1046|1803.0
972|1796.0
54|1794.0
223|1786.0
1152|1784.0
580|1778.0
1371|1775.0
591|1769.0
1084|1768.0
553|1767.0
1114|1766.0
372|1758.0
523|1757.0
880|1746.0
876|1743.0
708|1741.0
517|1740.0
881|1738.0
784|1736.0
1461|1729.0
863|1727.0
1118|1724.0
1459|1723.0
1074|1721.0
