1|20190710T163057|yntmisgl-2lmo-l6dg-lu0q-vggs96flk737|1341|2
2|20190710T163057|vik1zg9e-37v1-kxds-coca-ztg2d4uebvkg|718|6
3|20190710T163057|yntmisgl-2lmo-l6dg-lu0q-vggs96flk737|628|8
4|20190710T163057|yjajx51k-4lav-yr1p-vead-bcz18feq9fs2|1453|1
5|20190710T163057|axt4661k-2awh-vsrf-jkjs-bdzmclasty9b|362|15
6|20190710T163057|7j6db3sd-t2uq-5hzg-ze8e-vk7jfknz5aau|1466|5
7|20190710T163057|7j6db3sd-t2uq-5hzg-ze8e-vk7jfknz5aau|1080|6
8|20190710T163057|8pb0kk74-64zr-eyc3-we7t-y6xw4wyaxdvm|922|16
9|20190710T163057|e9hvsism-uw34-6u74-dizs-n3m79l93nbqn|802|10
10|20190710T163057|7aqpj5ew-uqbl-381g-hubi-o8muw8etn08x|158|0
11|20190710T163057|xi6n04vq-9tpx-l9az-1t4x-1z8cpdo5qo2z|913|6
12|20190710T163057|ucsuypj3-ykst-l1cb-gm67-7g11f9bbr67n|376|5
13|20190710T163057|yntmisgl-2lmo-l6dg-lu0q-vggs96flk737|466|15
14|20190710T163057|7j6db3sd-t2uq-5hzg-ze8e-vk7jfknz5aau|1349|1
15|20190710T163057|yntmisgl-2lmo-l6dg-lu0q-vggs96flk737|313|4
16|20190710T163057|0gk5tbnd-d951-2ne0-vo0t-48yl1zn3p741|38|11
17|20190710T163057|yntmisgl-2lmo-l6dg-lu0q-vggs96flk737|348|18
18|20190710T163057|7aqpj5ew-uqbl-381g-hubi-o8muw8etn08x|1070|4
19|20190710T163057|yjajx51k-4lav-yr1p-vead-bcz18feq9fs2|183|2
20|20190710T163057|vik1zg9e-37v1-kxds-coca-ztg2d4uebvkg|1289|19
21|20190710T163057|vik1zg9e-37v1-kxds-coca-ztg2d4uebvkg|1185|3
22|20190710T163057|e9hvsism-uw34-6u74-dizs-n3m79l93nbqn|1282|4
23|20190710T163057|xi6n04vq-9tpx-l9az-1t4x-1z8cpdo5qo2z|706|4
24|20190710T163057|7aqpj5ew-uqbl-381g-hubi-o8muw8etn08x|394|3
25|20190710T163057|rmltoscp-jdsk-31dx-478m-bd9wzb3ogmzj|693|0
26|20190710T163057|vik1zg9e-37v1-kxds-coca-ztg2d4uebvkg|260|2
27|20190710T163057|6tcrzxyw-jaix-lpkn-j4pr-uej0oeswxiau|1086|4
28|20190710T163057|7j6db3sd-t2uq-5hzg-ze8e-vk7jfknz5aau|535|18
29|20190710T163057|bzrojkik-elwt-1pk7-xw5w-vc5y1dovhcm3|340|8
30|20190710T163057|7j6db3sd-t2uq-5hzg-ze8e-vk7jfknz5aau|764|10
31|20190710T163057|x1zx7oyk-8isc-i58n-z86n-vdnb60sc0xvo|208|3
32|20190710T163057|x1zx7oyk-8isc-i58n-z86n-vdnb60sc0xvo|945|4
33|20190710T163057|yjajx51k-4lav-yr1p-vead-bcz18feq9fs2|578|15
34|20190710T163057|e9hvsism-uw34-6u74-dizs-n3m79l93nbqn|158|7
35|20190710T163057|vik1zg9e-37v1-kxds-coca-ztg2d4uebvkg|601|15
36|20190710T163057|x1zx7oyk-8isc-i58n-z86n-vdnb60sc0xvo|911|16
37|20190710T163057|bzrojkik-elwt-1pk7-xw5w-vc5y1dovhcm3|686|7
38|20190710T163057|e9hvsism-uw34-6u74-dizs-n3m79l93nbqn|539|0
39|20190710T163057|vik1zg9e-37v1-kxds-coca-ztg2d4uebvkg|307|12
40|20190710T163057|yjajx51k-4lav-yr1p-vead-bcz18feq9fs2|493|16
41|20190710T163057|yjajx51k-4lav-yr1p-vead-bcz18feq9fs2|683|17
42|20190710T163057|xi6n04vq-9tpx-l9az-1t4x-1z8cpdo5qo2z|806|5
43|20190710T163057|8pb0kk74-64zr-eyc3-we7t-y6xw4wyaxdvm|1320|0
44|20190710T163057|0gk5tbnd-d951-2ne0-vo0t-48yl1zn3p741|805|0
45|20190710T163057|x1zx7oyk-8isc-i58n-z86n-vdnb60sc0xvo|179|1
46|20190710T163057|x1zx7oyk-8isc-i58n-z86n-vdnb60sc0xvo|903|19
47|20190710T163057|6tcrzxyw-jaix-lpkn-j4pr-uej0oeswxiau|867|18
48|20190710T163057|axt4661k-2awh-vsrf-jkjs-bdzmclasty9b|380|19
49|20190710T163057|x1zx7oyk-8isc-i58n-z86n-vdnb60sc0xvo|169|4
50|20190710T163057|6tcrzxyw-jaix-lpkn-j4pr-uej0oeswxiau|856|18
51|20190710T163057|e9hvsism-uw34-6u74-dizs-n3m79l93nbqn|345|11
52|20190710T163057|8pb0kk74-64zr-eyc3-we7t-y6xw4wyaxdvm|837|0
53|20190710T163057|xi6n04vq-9tpx-l9az-1t4x-1z8cpdo5qo2z|775|16
54|20190710T163057|yntmisgl-2lmo-l6dg-lu0q-vggs96flk737|1134|1
55|20190710T163057|axt4661k-2awh-vsrf-jkjs-bdzmclasty9b|1006|5
56|20190710T163057|yjajx51k-4lav-yr1p-vead-bcz18feq9fs2|686|17
57|20190710T163057|x1zx7oyk-8isc-i58n-z86n-vdnb60sc0xvo|1066|2
58|20190710T163057|yjajx51k-4lav-yr1p-vead-bcz18feq9fs2|560|19
59|20190710T163057|yjajx51k-4lav-yr1p-vead-bcz18feq9fs2|1450|3
60|20190710T163057|x1zx7oyk-8isc-i58n-z86n-vdnb60sc0xvo|340|3
61|20190710T163057|axt4661k-2awh-vsrf-jkjs-bdzmclasty9b|495|8
62|20190710T163057|ucsuypj3-ykst-l1cb-gm67-7g11f9bbr67n|243|1
63|20190710T163057|yntmisgl-2lmo-l6dg-lu0q-vggs96flk737|379|6
64|20190710T163057|yjajx51k-4lav-yr1p-vead-bcz18feq9fs2|808|1
65|20190710T163057|vik1zg9e-37v1-kxds-coca-ztg2d4uebvkg|1130|14
66|20190710T163057|yntmisgl-2lmo-l6dg-lu0q-vggs96flk737|150|7
67|20190710T163057|rmltoscp-jdsk-31dx-478m-bd9wzb3ogmzj|131|5
